id,name,visa-rank,gdp-cap,pol-rights,civil-libs,visa-access
AFG,Afghanistan,28,678,6,6,0
ALB,Albania ,88,4652,3,3,76
DZA,Algeria ,47,5361,6,5,10
AND,Andorra,147,,1,1,73
AGO,Angola,40,5668,6,5,2
ATG,Antigua and Barbuda ,130,13669,2,2,99
ARG,Argentina,147,14760,2,2,78
ARM,Armenia,55,3505,5,4,130
AUS,Australia,167,67468,1,1,1
AUT,Austria,168,49074,1,1,73
AZE,Azerbaijan,56,7812,6,5,13
BHS,Bahamas,137,21908,1,1,120
BHR,Bahrain,69,24613,6,6,42
BGD,Bangladesh,41,829,3,4,174
BRB,Barbados,137,14917,1,1,106
BLR,Belarus,61,7575,7,6,17
BEL,Belgium,171,45387,1,1,73
BLZ,Belize,87,4834,1,2,96
BEN,Benin,55,805,2,2,26
BTN,Bhutan,49,2498,4,5,3
BOL,Bolivia,73,2868,3,3,174
BIH,Bosnia and Herzegovina,91,4656,3,3,67
BWA,Botswana,70,7317,3,2,96
BRA,Brazil,146,11208,2,2,74
BRN,Brunei Darussalam,146,38563,6,5,57
BGR,Bulgaria ,141,7296,2,2,73
BFA,Burkina Faso,53,684,5,3,61
BDI,Burundi,41,267,5,5,194
CPV,Cape Verde,57,3785,1,1,194
KHM,Cambodia,47,1008,6,5,184
CMR,Cameroon,44,1315,6,6,5
CAN,Canada,170,51911,1,1,51
CAF,Central African Republic,49,333,5,5,13
TCD,Chad,46,1046,7,6,13
CHL,Chile,141,15732,1,1,88
CHN,China,44,6807,7,6,7
COL,Colombia,63,7826,3,4,94
COM,Comoros ,43,894,3,4,194
COD,"Congo (Democratic Republic of, Kinshasa)",39,454,6,6,12
COG,"Congo (Republic of, Brazzaville)",44,3172,6,5,6
CRI,Costa Rica,122,10185,1,1,88
CIV,Cote d'Ivoire,55,1521,5,5,20
HRV,Croatia,129,13530,1,2,73
CUB,Cuba,61,6051,7,6,16
CYP,Cyprus,151,26352,1,1,73
CZE,Czech Republic,155,18861,1,1,73
DNK,Denmark,172,58930,1,1,73
DJI,Djibouti,40,1668,6,5,194
DMA,Dominica,87,7011,1,1,192
DOM,Dominican Republic,52,5826,2,2,74
ECU,Ecuador,74,5720,3,3,185
EGY,Egypt ,47,3314,5,5,
SLV,El Salvador ,113,3826,2,3,86
GNQ,Equatorial Guinea,42,20572,7,7,1
ERI,Eritrea,36,544,7,7,3
EST,Estonia,152,18478,1,1,73
ETH,Ethiopia,41,498,6,6,39
FJI,Fiji,78,4572,6,4,106
FIN,Finland,173,47219,1,1,73
FRA,France,170,41421,1,1,73
GAB,Gabon,47,11571,6,5,1
GMB,Gambia,68,494,6,6,129
GEO,Georgia,60,3602,3,3,194
DEU,Germany,172,45085,1,1,73
GHA,Ghana,61,1850,1,2,24
GRC,Greece,167,21910,2,2,73
GRD,Grenada,88,7876,1,2,115
GTM,Guatemala,114,3478,3,4,84
GIN,Guinea,53,527,5,5,21
GNB,Guinea-Bissau,48,504,6,5,194
GUY,Guyana,78,3847,2,3,45
HTI,Haiti,46,820,4,5,191
HND,Honduras,114,2291,4,4,84
HKG,Hong Kong (SAR China),152,38124,5,2,166
HUN,Hungary,157,12560,1,2,73
ISL,Iceland,165,45263,1,1,73
